user_id,search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_5d,total_clicks_5d,total_conversions_after_30d,total_revenue_after_30d,total_quantity_after_30d,total_conversions_before_30d,total_revenue_before_30d,total_quantity_before_30d,total_conversions_before_15d,total_revenue_before_15d,total_quantity_before_15d,total_conversions_before_5d,total_revenue_before_5d,total_quantity_before_5d,last_event_dt_before,search_term_count,last_30days_sp_impressions,last_30days_sp_clicks,sp_ctr_30d,last_30days_sb_impressions,last_30days_sb_clicks,sb_ctr_30d,avg_click_interval_seconds,impression_day_count,click_day_count,last_impression_time_diff_seconds,last_click_time_diff_seconds
AMZN_USR_34265,1,9,2,6,1,2,0,"","","","","","","","","","","","",2024-12-28T19:14:38.000Z,19,9,2,0.2222222222222222,"","",0.0,2284130.0,18,4,276322,1097428
AMZN_USR_47118,1,7,6,2,2,0,0,"","","","","","","","","","","","",2024-12-30T00:24:58.000Z,50,7,6,0.8571428571428571,"","",0.0,1716019.111111111,17,9,1026166,867568
AMZN_USR_22353,1,10,3,5,2,2,0,"","","","","","","","","","","","",2024-12-31T21:46:26.000Z,121,10,3,0.3,35,10,0.2857142857142857,1822286.865942029,43,19,8014,333424
AMZN_USR_48721,1,10,2,6,1,2,0,1,167.9600,4,"","","","","","","","","",2024-12-31T06:05:03.000Z,22,10,2,0.2,"","",0.0,379228.0,8,2,64497,952283
AMZN_USR_33846,1,8,6,4,2,1,0,"","","","","","","","","","","","",2024-12-29T05:33:24.000Z,24,8,6,0.75,"","",0.0,506946.4666666667,7,5,239196,622187
AMZN_USR_51161,1,13,5,8,1,2,1,"","","","","","","","","","","","",2024-12-31T14:09:47.000Z,29,13,5,0.38461538461538464,"","",0.0,1020219.6,11,4,164210,224002
AMZN_USR_34123,1,8,3,2,2,1,0,"","","","","","","","","","","","",2024-12-27T07:08:33.000Z,69,8,3,0.375,0,0,0.0,1699374.3333333333,15,5,406287,832836
AMZN_USR_45100,1,18,4,11,1,7,0,"","","","","","","","","","","","",2024-12-31T01:45:52.000Z,43,18,4,0.2222222222222222,"","",0.0,832664.6,12,4,103798,638729
AMZN_USR_39559,1,9,2,4,0,2,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-30T17:58:03.000Z,19,9,2,0.2222222222222222,"","",0.0,898893.0,8,2,108117,1685435
AMZN_USR_37385,1,34,8,17,3,6,0,1,103.9600,5,6,518.9300,26,5,410.9600,21,1,50.0000,4,2024-12-31T01:24:59.000Z,72,34,8,0.23529411764705882,"","",0.0,1346047.3333333333,32,10,81301,462919
AMZN_USR_21885,1,8,0,4,0,2,0,"","","",0,0.0000,0,0,0.0000,0,0,0.0000,0,2024-12-29T01:12:02.000Z,18,8,0,0.0,"","",0.0,1224506.6666666667,17,4,254878,2833416
AMZN_USR_40255,1,13,3,7,3,0,1,"","","","","","","","","","","","",2024-12-31T20:56:09.000Z,77,13,3,0.23076923076923078,"","",0.0,748278.0,9,3,436700,116627
AMZN_USR_35438,1,13,1,5,0,2,0,"","","","","","","","","","","","",2024-12-30T19:47:10.000Z,24,13,1,0.07692307692307693,"","",0.0,1230057.6,26,5,168648,2168350
AMZN_USR_45668,1,7,0,3,0,0,0,"","","",4,612.4200,24,2,262.4600,13,1,106.5000,6,2024-12-30T22:10:11.000Z,21,7,0,0.0,"","",0.0,730448.0,19,2,559918,3332024
AMZN_USR_28969,1,41,8,20,2,5,1,"","","","","","","","","","","","",2024-12-31T17:10:26.000Z,79,41,8,0.1951219512195122,"","",0.0,1871919.8166666667,33,14,24574,103330
AMZN_USR_29110,1,11,5,4,4,1,2,"","","","","","","","","","","","",2024-12-31T13:31:52.000Z,84,11,5,0.45454545454545453,22,5,0.22727272727272727,786101.5111111111,20,7,52814,37688
AMZN_USR_28615,1,11,1,4,1,1,0,"","","","","","","","","","","","",2024-12-31T15:41:26.000Z,73,11,1,0.09090909090909091,"","",0.0,"",10,1,29914,491943
AMZN_USR_26007,1,16,6,8,4,6,1,"","","","","","","","","","","","",2024-12-31T17:01:36.000Z,42,16,6,0.375,"","",0.0,1016045.8214285715,14,7,25104,203445
AMZN_USR_47251,1,9,4,2,2,2,0,"","","",3,383.9400,9,2,183.9800,5,0,0.0000,0,2024-12-31T20:25:03.000Z,23,9,4,0.4444444444444444,"","",0.0,958698.2857142857,20,6,12897,165452
AMZN_USR_46295,1,9,3,8,2,0,0,"","","","","","","","","","","","",2024-12-31T13:07:27.000Z,19,9,3,0.3333333333333333,"","",0.0,1211652.6666666667,7,3,437054,508136
AMZN_USR_41087,1,26,5,11,2,3,0,"","","","","","","","","","","","",2024-12-30T17:34:07.000Z,48,26,5,0.19230769230769232,"","",0.0,979247.7333333333,22,6,217262,603174
AMZN_USR_18635,1,11,4,9,1,1,0,"","","","","","","","","","","","",2024-12-29T14:00:55.000Z,18,11,4,0.36363636363636365,"","",0.0,1304064.6,22,6,364280,883209
AMZN_USR_43289,1,30,6,16,3,8,1,"","","","","","","","","","","","",2024-12-31T00:55:49.000Z,111,30,6,0.2,16,1,0.0625,633288.2857142857,24,6,133237,352966
AMZN_USR_34172,1,13,4,4,2,1,1,"","","","","","","","","","","","",2024-12-30T00:12:04.000Z,25,13,4,0.3076923076923077,"","",0.0,1127438.8333333333,11,4,356527,172076
AMZN_USR_51995,1,22,5,7,1,0,0,"","","","","","","","","","","","",2024-12-31T04:02:59.000Z,49,22,5,0.22727272727272727,"","",0.0,743378.3333333334,22,6,439792,1052905
AMZN_USR_36708,1,6,6,1,3,0,2,"","","","","","","","","","","","",2024-12-31T00:56:48.000Z,127,6,6,1.0,51,15,0.29411764705882354,1474115.8676923078,48,21,92313,178262
AMZN_USR_46182,1,7,2,3,2,0,0,"","","","","","","","","","","","",2024-12-30T23:30:41.000Z,15,7,2,0.2857142857142857,"","",0.0,420870.0,8,2,433045,806392
AMZN_USR_41059,1,6,2,4,1,0,1,"","","","","","","","","","","","",2024-12-29T22:12:43.000Z,24,6,2,0.3333333333333333,"","",0.0,1376996.6666666667,26,3,618507,388742
AMZN_USR_23201,1,25,0,15,0,2,0,3,167.4600,14,"","","","","","","","","",2024-12-31T20:47:39.000Z,73,25,0,0.0,0,0,0.0,2302212.8,27,5,11541,357669
AMZN_USR_33357,1,7,1,1,0,1,0,"","","",1,60.0000,3,0,0.0000,0,0,0.0000,0,2024-12-31T18:18:26.000Z,18,7,1,0.14285714285714285,"","",0.0,"",6,1,20494,2033896
AMZN_USR_50157,1,24,5,16,4,5,1,1,84.0000,3,1,47.9700,3,1,47.9700,3,0,0.0000,0,2024-12-31T16:29:03.000Z,48,24,5,0.20833333333333334,"","",0.0,551728.8571428572,23,5,83322,272431
AMZN_USR_37630,1,24,3,14,2,3,0,"","","","","","","","","","","","",2024-12-31T01:27:23.000Z,51,24,3,0.125,"","",0.0,1268728.8333333333,18,4,81157,518783
AMZN_USR_38924,1,31,4,18,3,5,1,"","","","","","","","","","","","",2024-12-30T19:30:35.000Z,67,31,4,0.12903225806451613,"","",0.0,1178033.0,20,4,115749,169426
AMZN_USR_27395,1,6,4,2,1,0,0,"","","","","","","","","","","","",2024-12-30T20:36:46.000Z,22,6,4,0.6666666666666666,"","",0.0,317649.6666666667,6,4,597406,1041012
AMZN_USR_49546,1,13,4,4,2,1,1,3,291.9200,12,"","","","","","","","","",2024-12-30T06:28:05.000Z,48,13,4,0.3076923076923077,0,0,0.0,1894630.8,26,5,203867,149515
AMZN_USR_45459,1,30,11,14,4,5,2,"","","",1,160.0000,4,0,0.0000,0,0,0.0000,0,2024-12-31T00:05:01.000Z,110,30,11,0.36666666666666664,7,3,0.42857142857142855,676467.2527472527,20,11,268760,86099
AMZN_USR_49740,1,12,2,4,2,0,1,"","","","","","","","","","","","",2024-12-31T21:17:39.000Z,24,12,2,0.16666666666666666,"","",0.0,1017043.0,10,2,548964,9741
AMZN_USR_47220,1,16,3,9,1,4,1,"","","",1,56.9700,3,1,56.9700,3,0,0.0000,0,2024-12-31T17:11:39.000Z,82,16,3,0.1875,24,5,0.20833333333333334,1026320.1785714285,27,8,24501,258084
AMZN_USR_38760,1,22,3,12,1,5,1,"","","","","","","","","","","","",2024-12-31T21:59:07.000Z,46,22,3,0.13636363636363635,"","",0.0,1552300.0,18,3,7253,180432
AMZN_USR_36962,1,26,6,16,4,3,1,"","","","","","","","","","","","",2024-12-31T11:00:09.000Z,46,26,6,0.23076923076923078,"","",0.0,548316.8,17,6,138007,343916
AMZN_USR_35666,1,17,3,6,1,1,1,1,105.0000,3,1,56.9700,3,1,56.9700,3,0,0.0000,0,2024-12-30T19:15:48.000Z,64,17,3,0.17647058823529413,"","",0.0,1611688.0,13,3,189591,103452
AMZN_USR_50624,1,27,7,20,3,5,2,"","","","","","","","","","","","",2024-12-31T21:21:12.000Z,54,27,7,0.25925925925925924,"","",0.0,963029.5238095238,19,6,9528,37232
AMZN_USR_22207,1,24,3,17,1,5,0,"","","",1,46.0000,4,0,0.0000,0,0,0.0000,0,2024-12-30T21:46:07.000Z,77,24,3,0.125,"","",0.0,848975.3333333334,13,3,94433,1163832
AMZN_USR_41585,1,9,2,5,0,2,0,"","","","","","","","","","","","",2024-12-31T16:10:51.000Z,27,9,2,0.2222222222222222,"","",0.0,1073621.0,8,2,122867,1315704
AMZN_USR_22768,1,9,0,4,0,0,0,"","","","","","","","","","","","",2024-12-29T01:17:08.000Z,22,9,0,0.0,"","",0.0,"",9,0,605481,""
AMZN_USR_41576,1,19,9,9,5,2,1,2,121.9800,6,"","","","","","","","","",2024-12-31T12:52:34.000Z,52,19,9,0.47368421052631576,"","",0.0,959096.6666666666,18,8,245084,194972
AMZN_USR_42744,1,16,2,11,1,6,0,"","","","","","","","","","","","",2024-12-31T19:13:45.000Z,49,16,2,0.125,"","",0.0,1868295.6,23,5,17175,926369
AMZN_USR_25357,1,10,3,4,2,1,1,"","","","","","","","","","","","",2024-12-31T16:41:15.000Z,26,10,3,0.3,"","",0.0,904098.0,10,3,306172,54595
AMZN_USR_21347,1,22,4,11,3,3,2,"","","","","","","","","","","","",2024-12-31T12:38:22.000Z,49,22,4,0.18181818181818182,"","",0.0,2443199.523809524,21,6,157866,355293
AMZN_USR_23351,1,10,1,4,0,0,0,"","","","","","","","","","","","",2024-12-28T19:02:51.000Z,43,10,1,0.1,10,2,0.2,533938.0,14,3,458442,1549827
AMZN_USR_48392,1,11,2,7,2,2,1,"","","","","","","","","","","","",2024-12-29T06:49:36.000Z,20,11,2,0.18181818181818182,"","",0.0,811105.0,8,2,351507,234624
AMZN_USR_49099,1,26,4,16,1,2,0,"","","","","","","","","","","","",2024-12-31T13:20:08.000Z,49,26,4,0.15384615384615385,"","",0.0,929409.0,26,5,208988,1200983
AMZN_USR_48364,1,15,4,10,0,3,0,"","","","","","","","","","","","",2024-12-31T13:23:01.000Z,37,15,4,0.26666666666666666,"","",0.0,159573.66666666666,13,4,38219,1982539
AMZN_USR_26624,1,43,11,23,5,8,3,"","","","","","","","","","","","",2024-12-31T21:23:20.000Z,110,43,11,0.2558139534883721,"","",0.0,940401.7454545455,24,10,9400,128307
AMZN_USR_34371,1,12,2,9,0,4,0,"","","","","","","","","","","","",2024-12-31T18:12:28.000Z,40,12,2,0.16666666666666666,"","",0.0,92945.0,9,2,20852,2071174
AMZN_USR_23112,1,21,4,11,4,5,1,"","","","","","","","","","","","",2024-12-29T21:41:45.000Z,42,21,4,0.19047619047619047,"","",0.0,440458.5,18,4,208004,181095
AMZN_USR_45845,1,13,2,11,0,3,0,"","","","","","","","","","","","",2024-12-31T04:23:44.000Z,26,13,2,0.15384615384615385,"","",0.0,1039953.0,11,2,149187,1397442
AMZN_USR_28824,1,17,7,5,5,2,1,"","","","","","","","","","","","",2024-12-31T10:17:11.000Z,33,17,7,0.4117647058823529,"","",0.0,695120.5714285715,13,7,49369,395128
AMZN_USR_52345,1,28,5,14,3,3,0,"","","","","","","","","","","","",2024-12-31T16:07:46.000Z,55,28,5,0.17857142857142858,"","",0.0,820480.1428571428,26,12,28334,639063
AMZN_USR_31757,1,20,2,8,2,2,1,"","","",1,151.9600,4,1,151.9600,4,1,151.9600,4,2024-12-31T17:36:38.000Z,52,20,2,0.1,8,4,0.5,1096673.4,21,6,23002,59769
AMZN_USR_45970,1,14,7,7,6,1,4,"","","","","","","","","","","","",2024-12-31T19:45:29.000Z,62,14,7,0.5,14,1,0.07142857142857142,868616.1785714285,20,6,65563,15271
AMZN_USR_21720,1,25,5,17,2,7,1,"","","","","","","","","","","","",2024-12-31T07:15:59.000Z,43,25,5,0.2,"","",0.0,1100881.6,17,5,60241,247779
AMZN_USR_21637,1,25,6,13,3,4,0,"","","","","","","","","","","","",2024-12-31T10:36:22.000Z,65,25,6,0.24,0,0,0.0,1652206.3333333333,25,8,58778,1068649
AMZN_USR_28236,1,13,0,7,0,2,0,"","","","","","","","","","","","",2024-12-31T20:00:04.000Z,76,13,0,0.0,10,2,0.2,447477.0,26,2,14396,2133123
AMZN_USR_26288,1,8,2,3,1,1,1,"","","","","","","","","","","","",2024-12-31T14:01:42.000Z,19,8,2,0.25,"","",0.0,1639472.0,6,3,35898,136310
AMZN_USR_48266,1,6,1,4,1,0,1,"","","","","","","","","","","","",2024-12-29T20:19:16.000Z,50,6,1,0.16666666666666666,"","",0.0,"",6,1,489242,241485
