user_id,user_id_type,customer_search_term,dma_code,postal_code,device_type,browser_family,operating_system,search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_5d,total_clicks_5d,total_conversions_after_30d,total_revenue_after_30d,total_quantity_after_30d,total_conversions_before_30d,total_revenue_before_30d,total_quantity_before_30d,total_conversions_before_15d,total_revenue_before_15d,total_quantity_before_15d,total_conversions_before_5d,total_revenue_before_5d,total_quantity_before_5d,last_event_dt_before
AMZN_USR_28273,adUserId,buy coffee maker,"","","","","",2,4,0,4,0,4,0,1,0.0000,0,2,199.9600,4,2,199.9600,4,2,199.9600,4,""
AMZN_USR_28273,adUserId,coffee,"","","","","",2,2,2,2,2,2,2,1,0.0000,0,2,199.9600,4,2,199.9600,4,2,199.9600,4,""
AMZN_USR_49742,adBrowserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,4,0.0000,0,3,0.0000,0,2,0.0000,0,""
AMZN_USR_49742,adBrowserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,4,0.0000,0,3,0.0000,0,2,0.0000,0,""
AMZN_USR_27299,adBrowserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,"","","","","","","","","","","","",""
AMZN_USR_30101,adBrowserId,coffee,"","","","","",1,4,1,4,1,4,1,0,0.0000,0,14,0.0000,0,9,0.0000,0,6,0.0000,0,""
AMZN_USR_30101,adBrowserId,buy coffee maker,"","","","","",1,13,3,13,3,13,3,0,0.0000,0,14,0.0000,0,9,0.0000,0,6,0.0000,0,""
AMZN_USR_28219,adUserId,buy coffee maker,"","","","","",1,5,1,5,1,5,1,0,0.0000,0,26,0.0000,0,22,0.0000,0,18,0.0000,0,""
AMZN_USR_28219,adUserId,coffee,"","","","","",1,6,2,6,2,6,2,0,0.0000,0,26,0.0000,0,22,0.0000,0,18,0.0000,0,""
AMZN_USR_30509,adBrowserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,26,0.0000,0,22,0.0000,0,20,0.0000,0,""
AMZN_USR_21580,adUserId,buy coffee maker,"","","","","",1,8,2,8,2,8,2,0,0.0000,0,9,281.9100,9,7,203.9300,7,6,59.9700,3,""
AMZN_USR_21580,adUserId,coffee,"","","","","",1,5,1,5,1,5,1,0,0.0000,0,9,281.9100,9,7,203.9300,7,6,59.9700,3,""
AMZN_USR_29681,adBrowserId,coffee,"","","","","",1,5,0,5,0,5,0,"","","","","","","","","","","","",""
AMZN_USR_29681,adBrowserId,buy coffee maker,"","","","","",1,3,0,3,0,3,0,"","","","","","","","","","","","",""
AMZN_USR_36187,adUserId,coffee,"","","","","",1,4,2,4,2,4,2,1,0.0000,0,18,150.0000,3,8,150.0000,3,6,150.0000,3,""
AMZN_USR_36187,adUserId,buy coffee maker,"","","","","",1,5,0,5,0,5,0,1,0.0000,0,18,150.0000,3,8,150.0000,3,6,150.0000,3,""
AMZN_USR_37716,sisDeviceId,buy coffee maker,"","","","","",1,0,1,0,1,0,1,0,0.0000,0,10,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_48036,sisDeviceId,coffee,"","","","","",1,5,0,2,0,0,0,0,0.0000,0,3,0.0000,0,2,0.0000,0,0,0.0000,0,2024-12-26T00:28:13.000Z
AMZN_USR_48036,sisDeviceId,buy coffee maker,"","","","","",1,6,0,4,0,0,0,0,0.0000,0,3,0.0000,0,2,0.0000,0,0,0.0000,0,2024-12-25T18:14:46.000Z
AMZN_USR_22532,adBrowserId,buy coffee maker,"","","","","",2,14,7,11,3,7,2,0,0.0000,0,13,375.9600,16,7,125.9600,8,6,125.9600,8,2024-12-31T09:09:23.000Z
AMZN_USR_22532,adBrowserId,coffee,"","","","","",2,11,3,7,3,6,3,0,0.0000,0,13,375.9600,16,7,125.9600,8,6,125.9600,8,2024-12-31T10:31:31.000Z
AMZN_USR_50129,adBrowserId,buy coffee maker,"","","","","",1,4,1,3,1,0,1,0,0.0000,0,12,0.0000,0,9,0.0000,0,4,0.0000,0,2024-12-28T19:40:08.000Z
AMZN_USR_50129,adBrowserId,coffee,"","","","","",1,8,1,5,1,2,1,0,0.0000,0,12,0.0000,0,9,0.0000,0,4,0.0000,0,2024-12-30T18:26:18.000Z
AMZN_USR_30232,adUserId,buy coffee maker,"","","","","",1,9,1,3,1,0,0,0,0.0000,0,16,0.0000,0,13,0.0000,0,6,0.0000,0,2024-12-26T21:52:36.000Z
AMZN_USR_30232,adUserId,coffee,"","","","","",1,3,2,1,1,0,0,0,0.0000,0,16,0.0000,0,13,0.0000,0,6,0.0000,0,2024-12-26T15:04:21.000Z
AMZN_USR_31596,sisDeviceId,buy coffee maker,"","","","","",1,7,2,7,2,7,2,0,0.0000,0,14,263.9600,7,11,263.9600,7,10,263.9600,7,""
AMZN_USR_31596,sisDeviceId,coffee,"","","","","",1,5,3,5,3,5,3,0,0.0000,0,14,263.9600,7,11,263.9600,7,10,263.9600,7,""
AMZN_USR_45172,adUserId,coffee,"","","","","",2,16,4,16,4,16,4,0,0.0000,0,21,429.9300,14,17,429.9300,14,16,429.9300,14,""
AMZN_USR_45172,adUserId,buy coffee maker,"","","","","",2,18,3,18,3,18,3,0,0.0000,0,21,429.9300,14,17,429.9300,14,16,429.9300,14,""
AMZN_USR_38781,sisDeviceId,coffee,"","","","","",2,6,3,6,3,6,3,0,0.0000,0,16,0.0000,0,15,0.0000,0,15,0.0000,0,""
AMZN_USR_38781,sisDeviceId,buy coffee maker,"","","","","",1,9,0,9,0,9,0,0,0.0000,0,16,0.0000,0,15,0.0000,0,15,0.0000,0,2024-12-31T22:25:08.000Z
AMZN_USR_42652,adUserId,coffee,"","","","","",1,7,2,7,2,7,2,0,0.0000,0,9,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_42652,adUserId,buy coffee maker,"","","","","",1,9,1,9,1,9,1,0,0.0000,0,9,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_41530,adUserId,coffee,"","","","","",2,15,1,15,1,11,1,0,0.0000,0,10,0.0000,0,10,0.0000,0,9,0.0000,0,2024-12-30T15:07:09.000Z
AMZN_USR_41530,adUserId,buy coffee maker,"","","","","",2,29,3,23,3,20,1,0,0.0000,0,10,0.0000,0,10,0.0000,0,9,0.0000,0,2024-12-29T13:48:27.000Z
AMZN_USR_38783,adBrowserId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,2,0.0000,0,2,0.0000,0,1,0.0000,0,""
AMZN_USR_28528,adUserId,coffee,"","","","","",2,7,0,7,0,7,0,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_28528,adUserId,buy coffee maker,"","","","","",2,2,1,2,1,2,1,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_50905,adUserId,coffee,"","","","","",1,13,3,9,1,0,0,0,0.0000,0,6,0.0000,0,2,0.0000,0,1,0.0000,0,2024-12-30T19:08:37.000Z
AMZN_USR_50905,adUserId,buy coffee maker,"","","","","",1,10,1,6,1,2,0,0,0.0000,0,6,0.0000,0,2,0.0000,0,1,0.0000,0,2024-12-30T17:14:03.000Z
AMZN_USR_50927,adBrowserId,buy coffee maker,"","","","","",1,9,1,9,1,9,1,0,0.0000,0,12,314.4400,15,7,40.5000,1,6,0.0000,0,""
AMZN_USR_50927,adBrowserId,coffee,"","","","","",1,2,3,2,3,2,3,0,0.0000,0,12,314.4400,15,7,40.5000,1,6,0.0000,0,""
AMZN_USR_42976,adUserId,coffee,"","","","","",1,4,1,4,1,4,1,1,0.0000,0,14,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_42976,adUserId,buy coffee maker,"","","","","",1,3,0,3,0,3,0,1,0.0000,0,14,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_42413,adBrowserId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,11,0.0000,0,11,0.0000,0,11,0.0000,0,""
AMZN_USR_42413,adBrowserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,11,0.0000,0,11,0.0000,0,11,0.0000,0,""
AMZN_USR_37990,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,11,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_20459,adBrowserId,coffee,"","","","","",1,1,5,1,0,1,0,0,0.0000,0,11,0.0000,0,8,0.0000,0,6,0.0000,0,2024-12-30T21:10:05.000Z
AMZN_USR_20459,adBrowserId,buy coffee maker,"","","","","",1,2,0,1,0,0,0,0,0.0000,0,11,0.0000,0,8,0.0000,0,6,0.0000,0,2024-12-25T19:05:14.000Z
AMZN_USR_35906,adBrowserId,buy coffee maker,"","","","","",1,11,2,11,2,11,2,0,0.0000,0,10,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_35906,adBrowserId,coffee,"","","","","",1,14,1,14,1,14,1,0,0.0000,0,10,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_42279,sisDeviceId,coffee,"","","","","",1,0,0,0,0,0,0,1,0.0000,0,16,0.0000,0,9,0.0000,0,9,0.0000,0,""
AMZN_USR_35879,adBrowserId,buy coffee maker,"","","","","",1,7,1,7,1,7,1,0,0.0000,0,6,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_35879,adBrowserId,coffee,"","","","","",1,7,0,7,0,7,0,0,0.0000,0,6,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_36955,adUserId,buy coffee maker,"","","","","",1,9,1,9,1,9,1,0,0.0000,0,4,0.0000,0,4,0.0000,0,4,0.0000,0,""
AMZN_USR_36955,adUserId,coffee,"","","","","",1,4,3,4,3,4,3,0,0.0000,0,4,0.0000,0,4,0.0000,0,4,0.0000,0,""
AMZN_USR_18181,adUserId,buy coffee maker,"","","","","",1,12,2,12,2,12,2,0,0.0000,0,4,0.0000,0,4,0.0000,0,4,0.0000,0,""
AMZN_USR_18181,adUserId,coffee,"","","","","",1,7,2,7,2,7,2,0,0.0000,0,4,0.0000,0,4,0.0000,0,4,0.0000,0,""
AMZN_USR_36723,sisDeviceId,buy coffee maker,"","","","","",1,7,1,4,0,1,0,0,0.0000,0,8,0.0000,0,7,0.0000,0,6,0.0000,0,2024-12-30T09:31:20.000Z
AMZN_USR_36723,sisDeviceId,coffee,"","","","","",1,2,1,1,1,0,0,0,0.0000,0,8,0.0000,0,7,0.0000,0,6,0.0000,0,2024-12-25T23:35:06.000Z
AMZN_USR_25505,adBrowserId,coffee,"","","","","",1,13,5,7,1,3,0,0,0.0000,0,47,0.0000,0,33,0.0000,0,22,0.0000,0,2024-12-31T10:25:46.000Z
AMZN_USR_25505,adBrowserId,buy coffee maker,"","","","","",1,20,3,10,0,2,0,0,0.0000,0,47,0.0000,0,33,0.0000,0,22,0.0000,0,2024-12-30T20:26:50.000Z
AMZN_USR_50517,sisDeviceId,coffee,"","","","","",1,4,0,4,0,4,0,0,0.0000,0,8,283.9100,9,6,251.9300,7,2,167.9600,4,""
AMZN_USR_50517,sisDeviceId,buy coffee maker,"","","","","",1,8,0,8,0,8,0,0,0.0000,0,8,283.9100,9,6,251.9300,7,2,167.9600,4,""
AMZN_USR_45688,adUserId,buy coffee maker,"","","","","",1,9,1,9,1,9,1,0,0.0000,0,18,0.0000,0,14,0.0000,0,11,0.0000,0,""
AMZN_USR_45688,adUserId,coffee,"","","","","",1,9,4,9,4,9,4,0,0.0000,0,18,0.0000,0,14,0.0000,0,11,0.0000,0,""
AMZN_USR_24183,sisDeviceId,buy coffee maker,"","","","","",2,23,3,16,0,11,0,0,0.0000,0,15,289.9600,16,8,249.9600,15,5,135.9900,9,2024-12-27T08:44:23.000Z
AMZN_USR_24183,sisDeviceId,coffee,"","","","","",2,18,1,11,0,7,0,0,0.0000,0,15,289.9600,16,8,249.9600,15,5,135.9900,9,2024-12-31T14:38:06.000Z
AMZN_USR_35438,adBrowserId,buy coffee maker,"","","","","",1,5,1,2,0,1,0,0,0.0000,0,36,0.0000,0,31,0.0000,0,25,0.0000,0,2024-12-28T00:49:10.000Z
AMZN_USR_35438,adBrowserId,coffee,"","","","","",1,8,0,3,0,1,0,0,0.0000,0,36,0.0000,0,31,0.0000,0,25,0.0000,0,2024-12-30T14:47:10.000Z
AMZN_USR_23985,sisDeviceId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,26,587.8700,30,22,363.8700,20,14,0.0000,0,""
AMZN_USR_23985,sisDeviceId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,26,587.8700,30,22,363.8700,20,14,0.0000,0,""
AMZN_USR_19095,sisDeviceId,coffee,"","","","","",1,6,2,6,2,6,2,0,0.0000,0,10,0.0000,0,10,0.0000,0,9,0.0000,0,""
AMZN_USR_19095,sisDeviceId,buy coffee maker,"","","","","",1,3,1,3,1,3,1,0,0.0000,0,10,0.0000,0,10,0.0000,0,9,0.0000,0,""
AMZN_USR_29629,adUserId,coffee,"","","","","",1,6,1,6,1,6,1,0,0.0000,0,25,0.0000,0,25,0.0000,0,22,0.0000,0,""
AMZN_USR_29629,adUserId,buy coffee maker,"","","","","",1,10,1,10,1,10,1,0,0.0000,0,25,0.0000,0,25,0.0000,0,22,0.0000,0,""
AMZN_USR_19949,adBrowserId,buy coffee maker,"","","","","",1,4,2,4,2,4,2,0,0.0000,0,21,0.0000,0,15,0.0000,0,14,0.0000,0,""
AMZN_USR_19949,adBrowserId,coffee,"","","","","",1,5,2,5,2,5,2,0,0.0000,0,21,0.0000,0,15,0.0000,0,14,0.0000,0,""
AMZN_USR_37346,adBrowserId,coffee,"","","","","",1,8,0,8,0,8,0,0,0.0000,0,2,0.0000,0,0,0.0000,0,0,0.0000,0,""
AMZN_USR_37346,adBrowserId,buy coffee maker,"","","","","",1,5,0,5,0,5,0,0,0.0000,0,2,0.0000,0,0,0.0000,0,0,0.0000,0,""
AMZN_USR_24606,sisDeviceId,buy coffee maker,"","","","","",1,3,1,3,1,3,1,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_24606,sisDeviceId,coffee,"","","","","",1,5,2,5,2,5,2,0,0.0000,0,7,0.0000,0,7,0.0000,0,7,0.0000,0,""
AMZN_USR_42450,sisDeviceId,coffee,"","","","","",1,3,1,3,1,3,1,0,0.0000,0,2,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_42450,sisDeviceId,buy coffee maker,"","","","","",1,3,0,3,0,3,0,0,0.0000,0,2,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_38354,adBrowserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,6,0.0000,0,2,0.0000,0,0,0.0000,0,""
AMZN_USR_38354,adBrowserId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,6,0.0000,0,2,0.0000,0,0,0.0000,0,""
AMZN_USR_27831,sisDeviceId,buy coffee maker,"","","","","",2,25,1,25,1,25,1,0,0.0000,0,16,244.8800,12,12,47.9700,3,8,0.0000,0,""
AMZN_USR_27831,sisDeviceId,coffee,"","","","","",2,15,5,15,5,15,5,0,0.0000,0,16,244.8800,12,12,47.9700,3,8,0.0000,0,""
AMZN_USR_28964,adBrowserId,coffee,"","","","","",1,16,4,16,4,16,4,0,0.0000,0,19,0.0000,0,11,0.0000,0,10,0.0000,0,""
AMZN_USR_28964,adBrowserId,buy coffee maker,"","","","","",1,17,6,17,6,17,6,0,0.0000,0,19,0.0000,0,11,0.0000,0,10,0.0000,0,""
AMZN_USR_28588,adUserId,coffee,"","","","","",1,13,2,13,2,13,2,0,0.0000,0,2,0.0000,0,2,0.0000,0,2,0.0000,0,""
AMZN_USR_28588,adUserId,buy coffee maker,"","","","","",1,12,0,12,0,12,0,0,0.0000,0,2,0.0000,0,2,0.0000,0,2,0.0000,0,2024-12-31T22:52:26.000Z
AMZN_USR_46960,adUserId,coffee,"","","","","",1,6,0,6,0,6,0,0,0.0000,0,11,98.9700,3,10,98.9700,3,8,98.9700,3,""
AMZN_USR_46960,adUserId,buy coffee maker,"","","","","",1,5,4,5,4,5,4,0,0.0000,0,11,98.9700,3,10,98.9700,3,8,98.9700,3,""
AMZN_USR_43460,adBrowserId,coffee,"","","","","",1,7,1,7,1,7,1,0,0.0000,0,23,100.0000,4,20,100.0000,4,20,100.0000,4,""
AMZN_USR_43460,adBrowserId,buy coffee maker,"","","","","",1,9,1,9,1,9,1,0,0.0000,0,23,100.0000,4,20,100.0000,4,20,100.0000,4,""
AMZN_USR_33907,adUserId,buy coffee maker,"","","","","",2,22,2,22,2,22,2,0,0.0000,0,16,0.0000,0,12,0.0000,0,10,0.0000,0,""
AMZN_USR_33907,adUserId,coffee,"","","","","",3,22,3,22,3,22,3,0,0.0000,0,16,0.0000,0,12,0.0000,0,10,0.0000,0,""
AMZN_USR_28997,adBrowserId,buy coffee maker,"","","","","",1,4,0,4,0,4,0,0,0.0000,0,14,0.0000,0,11,0.0000,0,5,0.0000,0,""
AMZN_USR_28997,adBrowserId,coffee,"","","","","",1,4,0,4,0,4,0,0,0.0000,0,14,0.0000,0,11,0.0000,0,5,0.0000,0,""
AMZN_USR_42635,adBrowserId,buy coffee maker,"","","","","",1,2,3,2,3,2,3,0,0.0000,0,12,0.0000,0,11,0.0000,0,10,0.0000,0,""
AMZN_USR_42635,adBrowserId,coffee,"","","","","",1,11,1,11,1,11,1,0,0.0000,0,12,0.0000,0,11,0.0000,0,10,0.0000,0,""
AMZN_USR_32797,adUserId,coffee,"","","","","",1,10,2,5,1,1,1,0,0.0000,0,9,89.0000,5,2,0.0000,0,1,0.0000,0,2024-12-31T07:38:07.000Z
AMZN_USR_32797,adUserId,buy coffee maker,"","","","","",1,14,1,6,0,0,0,0,0.0000,0,9,89.0000,5,2,0.0000,0,1,0.0000,0,2024-12-27T07:17:38.000Z
AMZN_USR_45821,adBrowserId,buy coffee maker,"","","","","",1,5,1,2,0,1,0,0,0.0000,0,9,106.5000,4,7,0.0000,0,7,0.0000,0,2024-12-31T11:04:00.000Z
AMZN_USR_45821,adBrowserId,coffee,"","","","","",1,2,0,2,0,0,0,0,0.0000,0,9,106.5000,4,7,0.0000,0,7,0.0000,0,2024-12-25T08:27:42.000Z
AMZN_USR_39652,adUserId,coffee,"","","","","",1,5,1,5,1,5,1,0,0.0000,0,7,0.0000,0,7,0.0000,0,4,0.0000,0,""
AMZN_USR_39652,adUserId,buy coffee maker,"","","","","",1,4,1,4,1,4,1,0,0.0000,0,7,0.0000,0,7,0.0000,0,4,0.0000,0,""
AMZN_USR_47830,adUserId,coffee,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,4,0.0000,0,0,0.0000,0,0,0.0000,0,""
AMZN_USR_47830,adUserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,4,0.0000,0,0,0.0000,0,0,0.0000,0,""
AMZN_USR_37448,adBrowserId,buy coffee maker,"","","","","",1,10,0,10,0,10,0,0,0.0000,0,11,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_37448,adBrowserId,coffee,"","","","","",1,4,0,4,0,4,0,0,0.0000,0,11,0.0000,0,10,0.0000,0,10,0.0000,0,""
AMZN_USR_40894,adUserId,coffee,"","","","","",2,23,2,18,2,11,0,0,0.0000,0,11,0.0000,0,10,0.0000,0,8,0.0000,0,2024-12-29T10:22:01.000Z
AMZN_USR_40894,adUserId,buy coffee maker,"","","","","",2,13,1,7,1,4,1,0,0.0000,0,11,0.0000,0,10,0.0000,0,8,0.0000,0,2024-12-30T05:33:11.000Z
AMZN_USR_29299,adUserId,coffee,"","","","","",1,2,2,2,2,2,2,0,0.0000,0,20,0.0000,0,19,0.0000,0,18,0.0000,0,""
AMZN_USR_29299,adUserId,buy coffee maker,"","","","","",1,7,1,7,1,7,1,0,0.0000,0,20,0.0000,0,19,0.0000,0,18,0.0000,0,""
AMZN_USR_48052,adUserId,coffee,"","","","","",3,9,2,5,2,4,2,0,0.0000,0,22,0.0000,0,21,0.0000,0,18,0.0000,0,2024-12-30T10:51:36.000Z
AMZN_USR_48052,adUserId,buy coffee maker,"","","","","",2,9,6,7,5,6,4,0,0.0000,0,22,0.0000,0,21,0.0000,0,18,0.0000,0,2024-12-31T19:29:14.000Z
AMZN_USR_39958,adUserId,coffee,"","","","","",1,6,4,2,0,1,0,0,0.0000,0,19,0.0000,0,15,0.0000,0,7,0.0000,0,2024-12-28T21:21:44.000Z
AMZN_USR_39958,adUserId,buy coffee maker,"","","","","",1,8,1,4,0,2,0,0,0.0000,0,19,0.0000,0,15,0.0000,0,7,0.0000,0,2024-12-30T21:38:06.000Z
AMZN_USR_40704,sisDeviceId,coffee,"","","","","",1,8,2,8,2,8,2,0,0.0000,0,33,0.0000,0,27,0.0000,0,25,0.0000,0,2024-12-31T20:34:18.000Z
AMZN_USR_40704,sisDeviceId,buy coffee maker,"","","","","",1,7,5,7,5,7,5,0,0.0000,0,33,0.0000,0,27,0.0000,0,25,0.0000,0,""
AMZN_USR_36461,adBrowserId,coffee,"","","","","",1,5,1,5,1,5,1,0,0.0000,0,10,0.0000,0,6,0.0000,0,3,0.0000,0,""
AMZN_USR_36461,adBrowserId,buy coffee maker,"","","","","",1,1,1,1,1,1,1,0,0.0000,0,10,0.0000,0,6,0.0000,0,3,0.0000,0,""
AMZN_USR_40006,adUserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,14,0.0000,0,12,0.0000,0,11,0.0000,0,""
AMZN_USR_39909,sisDeviceId,coffee,"","","","","",1,5,1,5,1,5,1,0,0.0000,0,6,0.0000,0,6,0.0000,0,3,0.0000,0,""
AMZN_USR_39909,sisDeviceId,buy coffee maker,"","","","","",1,4,0,4,0,4,0,0,0.0000,0,6,0.0000,0,6,0.0000,0,3,0.0000,0,""
AMZN_USR_29713,adUserId,buy coffee maker,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,3,166.9800,9,1,52.0000,4,0,0.0000,0,""
AMZN_USR_29713,adUserId,coffee,"","","","","",1,0,0,0,0,0,0,0,0.0000,0,3,166.9800,9,1,52.0000,4,0,0.0000,0,""
AMZN_USR_36497,adBrowserId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,4,0.0000,0,3,0.0000,0,1,0.0000,0,""
AMZN_USR_39303,sisDeviceId,buy coffee maker,"","","","","",1,9,1,4,1,1,0,0,0.0000,0,15,0.0000,0,8,0.0000,0,5,0.0000,0,2024-12-30T16:48:40.000Z
AMZN_USR_39303,sisDeviceId,coffee,"","","","","",1,17,4,10,2,4,1,0,0.0000,0,15,0.0000,0,8,0.0000,0,5,0.0000,0,2024-12-31T12:53:46.000Z
AMZN_USR_36719,adBrowserId,coffee,"","","","","",1,4,0,2,0,1,0,0,0.0000,0,25,0.0000,0,18,0.0000,0,15,0.0000,0,2024-12-28T23:05:56.000Z
AMZN_USR_36719,adBrowserId,buy coffee maker,"","","","","",1,4,0,2,0,1,0,0,0.0000,0,25,0.0000,0,18,0.0000,0,15,0.0000,0,2024-12-31T01:39:38.000Z
AMZN_USR_38187,sisDeviceId,buy coffee maker,"","","","","",1,2,2,2,0,1,0,0,0.0000,0,19,122.9800,4,14,122.9800,4,7,99.9800,2,2024-12-31T02:14:55.000Z
AMZN_USR_38187,sisDeviceId,coffee,"","","","","",1,7,1,3,1,1,0,0,0.0000,0,19,122.9800,4,14,122.9800,4,7,99.9800,2,2024-12-30T01:40:22.000Z
AMZN_USR_30796,adUserId,buy coffee maker,"","","","","",1,7,0,7,0,7,0,0,0.0000,0,5,0.0000,0,1,0.0000,0,1,0.0000,0,""
AMZN_USR_45880,adUserId,buy coffee maker,"","","","","",1,4,1,2,1,1,0,0,0.0000,0,10,107.9700,6,8,107.9700,6,7,107.9700,6,2024-12-27T04:06:35.000Z
AMZN_USR_45880,adUserId,coffee,"","","","","",1,3,2,0,2,0,1,0,0.0000,0,10,107.9700,6,8,107.9700,6,7,107.9700,6,2024-12-30T11:08:07.000Z
AMZN_USR_38243,adBrowserId,coffee,"","","","","",2,12,3,12,3,12,3,0,0.0000,0,13,0.0000,0,10,0.0000,0,8,0.0000,0,""
AMZN_USR_38243,adBrowserId,buy coffee maker,"","","","","",2,12,4,12,4,12,4,0,0.0000,0,13,0.0000,0,10,0.0000,0,8,0.0000,0,""
AMZN_USR_52008,sisDeviceId,buy coffee maker,"","","","","",1,1,0,1,0,1,0,0,0.0000,0,11,0.0000,0,11,0.0000,0,11,0.0000,0,""
