search_campaign_cnt,total_impressions_30d,total_clicks_30d,total_impressions_15d,total_clicks_15d,total_impressions_3d,total_clicks_3d,total_conversions_30d,total_revenue_30d,total_quantity_30d,total_conversions_15d,total_revenue_15d,total_quantity_15d,total_conversions_3d,total_revenue_3d,total_quantity_3d
1,4,0,2,0,0,0,3,0,0,2,0,0,0,0,0
1,2,1,2,1,1,0,3,0,0,2,0,0,0,0,0
1,3,0,3,0,1,0,7,0,0,4,0,0,0,0,0
1,5,2,5,1,0,0,7,0,0,4,0,0,0,0,0
1,2,1,2,1,0,0,1,0,0,1,0,0,0,0,0
1,6,1,5,1,1,0,1,0,0,1,0,0,0,0,0
1,2,1,0,0,0,0,2,43.5,3,0,0,0,0,0,0
1,1,0,0,0,0,0,2,43.5,3,0,0,0,0,0,0
1,6,3,4,3,1,1,4,0,0,3,0,0,2,0,0
1,10,2,9,2,5,2,4,0,0,3,0,0,2,0,0
1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,,,,,,,,,
1,3,0,0,0,0,0,,,,,,,,,
1,4,2,4,2,0,1,5,0,0,2,0,0,0,0,0
1,5,1,4,1,1,0,5,0,0,2,0,0,0,0,0
1,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0
1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0
1,5,1,2,1,0,0,10,0,0,9,0,0,1,0,0
1,3,0,2,0,0,0,10,0,0,9,0,0,1,0,0
2,14,0,10,0,3,0,2,0,0,1,0,0,0,0,0
2,7,3,3,2,2,1,2,0,0,1,0,0,0,0,0
1,8,1,5,1,1,0,4,0,0,3,0,0,2,0,0
1,7,1,4,1,1,0,4,0,0,3,0,0,2,0,0
1,3,1,2,1,1,1,3,48,1,3,48,1,1,48,1
1,4,2,4,2,1,0,3,48,1,3,48,1,1,48,1
1,4,0,3,0,1,0,3,0,0,0,0,0,0,0,0
1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0
2,11,1,8,1,1,1,4,192,4,3,192,4,0,0,0
2,11,2,9,2,1,0,4,192,4,3,192,4,0,0,0
1,4,0,0,0,0,0,6,0,0,5,0,0,1,0,0
1,4,1,0,0,0,0,6,0,0,5,0,0,1,0,0
1,6,0,3,0,1,0,6,0,0,3,0,0,2,0,0
1,1,4,1,3,0,2,6,0,0,3,0,0,2,0,0
1,3,0,0,0,0,0,6,0,0,4,0,0,2,0,0
1,3,0,0,0,0,0,6,0,0,4,0,0,2,0,0
1,3,0,0,0,0,0,6,0,0,2,0,0,0,0,0
1,5,0,0,0,0,0,6,0,0,2,0,0,0,0,0
1,5,0,4,0,3,0,3,0,0,2,0,0,0,0,0
1,3,1,1,1,0,0,3,0,0,2,0,0,0,0,0
1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0
1,5,1,3,1,0,0,10,0,0,8,0,0,2,0,0
1,3,0,3,0,0,0,10,0,0,8,0,0,2,0,0
1,5,1,4,1,1,0,3,0,0,2,0,0,0,0,0
1,3,1,2,0,1,0,3,0,0,2,0,0,0,0,0
1,7,1,3,0,0,0,6,0,0,3,0,0,0,0,0
1,1,1,1,1,1,0,6,0,0,3,0,0,0,0,0
1,7,1,5,1,2,0,1,0,0,1,0,0,0,0,0
1,5,0,3,0,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,7,0,0,4,0,0,1,0,0
1,1,0,0,0,0,0,7,0,0,4,0,0,1,0,0
1,7,1,4,1,0,0,2,0,0,2,0,0,0,0,0
1,4,2,2,2,0,0,2,0,0,2,0,0,0,0,0
4,13,5,10,2,2,0,3,0,0,3,0,0,0,0,0
4,16,4,10,4,2,2,3,0,0,3,0,0,0,0,0
1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,4,0,3,0,0,0,2,0,0,2,0,0,1,0,0
1,6,0,3,0,0,0,2,0,0,2,0,0,1,0,0
1,6,1,5,1,0,0,2,0,0,2,0,0,0,0,0
1,13,2,8,2,2,0,2,0,0,2,0,0,0,0,0
1,4,1,3,1,1,0,3,0,0,3,0,0,1,0,0
1,4,1,2,1,0,0,3,0,0,3,0,0,1,0,0
1,2,1,1,1,0,0,4,0,0,4,0,0,1,0,0
1,3,0,3,0,0,0,4,0,0,4,0,0,1,0,0
2,6,1,4,0,0,0,5,447.92,12,5,447.92,12,0,0,0
2,17,1,11,1,4,0,5,447.92,12,5,447.92,12,0,0,0
1,2,2,1,2,0,0,2,0,0,2,0,0,0,0,0
1,8,1,7,1,1,0,2,0,0,2,0,0,0,0,0
1,3,0,3,0,0,0,2,0,0,2,0,0,0,0,0
1,5,0,5,0,1,0,2,0,0,2,0,0,0,0,0
2,13,3,8,2,4,0,7,0,0,5,0,0,0,0,0
2,12,3,11,2,1,1,7,0,0,5,0,0,0,0,0
1,4,1,0,0,0,0,6,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,13,1,7,1,2,0,3,0,0,3,0,0,2,0,0
2,2,2,2,2,0,0,3,0,0,3,0,0,2,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1,4,1,1,0,0,0,0,0,0,0,0,0,0
1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2,5,2,3,0,1,0,10,0,0,10,0,0,0,0,0
2,4,2,2,1,0,0,10,0,0,10,0,0,0,0,0
1,3,0,1,0,1,0,3,0,0,1,0,0,0,0,0
1,2,1,2,0,0,0,3,0,0,1,0,0,0,0,0
1,1,0,1,0,1,0,2,0,0,2,0,0,1,0,0
1,4,2,4,2,2,1,2,0,0,2,0,0,1,0,0
1,5,0,5,0,1,0,5,0,0,5,0,0,2,0,0
1,5,2,2,1,0,1,5,0,0,5,0,0,2,0,0
1,17,4,13,4,2,0,8,0,0,5,0,0,2,0,0
1,9,3,7,2,0,0,8,0,0,5,0,0,2,0,0
1,3,0,0,0,0,0,4,0,0,1,0,0,0,0,0
1,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0
1,8,1,6,0,1,0,1,0,0,0,0,0,0,0,0
1,4,0,4,0,0,0,1,0,0,0,0,0,0,0,0
1,5,1,5,1,2,1,3,0,0,1,0,0,0,0,0
1,8,3,5,2,1,1,3,0,0,1,0,0,0,0,0
1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0
1,11,0,9,0,2,0,5,0,0,4,0,0,1,0,0
1,7,1,4,1,2,0,5,0,0,4,0,0,1,0,0
1,1,0,0,0,0,0,5,0,0,3,0,0,0,0,0
1,1,0,0,0,0,0,5,0,0,3,0,0,0,0,0
1,3,0,2,0,1,0,4,0,0,1,0,0,0,0,0
1,6,1,5,1,1,0,4,0,0,1,0,0,0,0,0
1,7,2,6,2,2,0,1,0,0,1,0,0,0,0,0
1,9,0,8,0,2,0,1,0,0,1,0,0,0,0,0
1,3,1,0,0,0,0,10,0,0,3,0,0,0,0,0
1,5,5,0,0,0,0,10,0,0,3,0,0,0,0,0
1,4,0,4,0,2,0,2,0,0,2,0,0,0,0,0
1,4,1,1,1,0,1,2,0,0,2,0,0,0,0,0
1,2,0,0,0,0,0,6,0,0,2,0,0,1,0,0
1,0,1,0,0,0,0,6,0,0,2,0,0,1,0,0
1,3,0,3,0,1,0,9,0,0,8,0,0,4,0,0
1,3,2,2,2,0,0,9,0,0,8,0,0,4,0,0
1,5,3,4,3,0,1,0,0,0,0,0,0,0,0,0
1,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2,6,1,6,1,0,1,0,0,0,0,0,0,0,0,0
2,6,1,4,1,1,0,0,0,0,0,0,0,0,0,0
1,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0
1,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,7,99.98,2,2,0,0,0,0,0
1,2,0,0,0,0,0,7,99.98,2,2,0,0,0,0,0
1,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0
1,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0
1,3,1,0,0,0,0,4,0,0,0,0,0,0,0,0
1,8,1,0,0,0,0,4,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0
1,2,1,0,0,0,0,5,0,0,1,0,0,0,0,0
2,8,1,6,1,2,0,8,0,0,6,0,0,1,0,0
2,11,3,9,2,1,1,8,0,0,6,0,0,1,0,0
1,1,1,1,1,0,0,5,113.97,4,4,0,0,1,0,0
1,2,1,1,1,0,0,5,113.97,4,4,0,0,1,0,0
2,23,3,16,2,5,0,4,192,4,4,192,4,1,192,4
2,22,3,17,2,7,2,4,192,4,4,192,4,1,192,4
1,2,1,2,1,1,0,7,0,0,1,0,0,1,0,0
1,2,0,1,0,0,0,7,0,0,1,0,0,1,0,0
1,4,2,1,1,0,0,5,0,0,4,0,0,0,0,0
1,5,2,5,1,1,0,5,0,0,4,0,0,0,0,0
1,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,2,12,2,2,0,6,0,0,5,0,0,2,0,0
2,10,6,8,4,2,0,6,0,0,5,0,0,2,0,0
1,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0
1,10,0,10,0,2,0,1,0,0,0,0,0,0,0,0
1,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2,7,1,6,1,2,1,5,0,0,2,0,0,1,0,0
2,7,3,5,1,1,1,5,0,0,2,0,0,1,0,0
1,2,3,2,3,2,0,4,0,0,3,0,0,0,0,0
1,6,2,4,1,1,0,4,0,0,3,0,0,0,0,0
1,5,0,0,0,0,0,2,0,0,2,0,0,1,0,0
1,4,0,0,0,0,0,2,0,0,2,0,0,1,0,0
1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,6,2,1,0,2,0,0,2,0,0,0,0,0
1,11,2,8,2,2,1,2,0,0,2,0,0,0,0,0
1,4,0,3,0,1,0,1,0,0,1,0,0,1,0,0
1,3,1,3,1,1,0,1,0,0,1,0,0,1,0,0
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,6,1,3,1,2,0,1,0,0,1,0,0,0,0,0
1,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0
1,9,5,8,5,1,2,7,0,0,7,0,0,2,0,0
1,10,2,9,2,3,0,7,0,0,7,0,0,2,0,0
1,1,1,0,0,0,0,2,0,0,2,0,0,1,0,0
1,4,0,0,0,0,0,2,0,0,2,0,0,1,0,0
1,6,2,5,1,2,0,2,0,0,2,0,0,1,0,0
1,11,2,7,1,0,0,2,0,0,2,0,0,1,0,0
1,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0
1,4,1,2,1,1,1,0,0,0,0,0,0,0,0,0
1,12,4,10,4,3,0,8,0,0,6,0,0,2,0,0
1,12,1,11,1,1,1,8,0,0,6,0,0,2,0,0
2,15,1,8,0,3,0,2,0,0,0,0,0,0,0,0
2,10,1,4,1,1,0,2,0,0,0,0,0,0,0,0
1,7,1,7,0,1,0,1,0,0,1,0,0,0,0,0
1,7,0,6,0,3,0,1,0,0,1,0,0,0,0,0
2,9,3,4,1,1,0,6,0,0,4,0,0,1,0,0
2,1,1,0,0,0,0,6,0,0,4,0,0,1,0,0
1,3,0,1,0,1,0,5,0,0,1,0,0,0,0,0
1,6,1,5,0,1,0,5,0,0,1,0,0,0,0,0
1,4,1,3,1,2,0,6,0,0,3,0,0,0,0,0
1,3,3,2,3,0,0,6,0,0,3,0,0,0,0,0
1,4,2,0,0,0,0,5,0,0,3,0,0,2,0,0
1,7,1,0,0,0,0,5,0,0,3,0,0,2,0,0
1,2,1,2,1,0,0,5,0,0,3,0,0,0,0,0
1,1,0,1,0,0,0,5,0,0,3,0,0,0,0,0
2,7,2,6,1,0,0,8,0,0,6,0,0,0,0,0
2,8,4,5,3,0,0,8,0,0,6,0,0,0,0,0
1,7,1,4,1,1,0,1,0,0,1,0,0,0,0,0
1,10,4,7,3,1,2,1,0,0,1,0,0,0,0,0
1,3,0,2,0,0,0,3,0,0,0,0,0,0,0,0
1,4,0,4,0,1,0,3,0,0,0,0,0,0,0,0
1,8,0,4,0,1,0,5,233.92,10,0,0,0,0,0,0
1,7,0,4,0,1,0,5,233.92,10,0,0,0,0,0,0
1,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0
1,4,2,0,0,0,0,4,0,0,1,0,0,0,0,0
1,2,0,1,0,0,0,6,34.5,3,2,34.5,3,0,0,0
1,2,2,0,1,0,1,6,34.5,3,2,34.5,3,0,0,0
1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,2,2,0,0,0,0,4,0,0,1,0,0,0,0,0
1,2,1,0,0,0,0,4,0,0,1,0,0,0,0,0
1,5,1,2,0,2,0,2,0,0,2,0,0,0,0,0
1,3,0,2,0,0,0,2,0,0,2,0,0,0,0,0
1,3,0,2,0,0,0,5,0,0,5,0,0,1,0,0
1,6,2,4,1,1,0,5,0,0,5,0,0,1,0,0
1,4,4,3,3,1,2,1,0,0,1,0,0,0,0,0
1,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0
1,7,1,5,1,2,0,2,0,0,0,0,0,0,0,0
1,6,2,5,1,1,1,2,0,0,0,0,0,0,0,0
2,9,2,4,1,2,1,5,0,0,5,0,0,3,0,0
2,8,1,8,0,4,0,5,0,0,5,0,0,3,0,0
1,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0
1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,3,0,0,1,0,0,0,0,0
1,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,7,0,0,2,0,0,0,0,0
1,4,1,4,1,0,0,7,0,0,2,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3,7,3,1,1,11,0,0,7,0,0,2,0,0
1,6,2,6,2,1,0,11,0,0,7,0,0,2,0,0
1,5,2,4,2,1,0,2,0,0,1,0,0,0,0,0
1,7,0,6,0,0,0,2,0,0,1,0,0,0,0,0
1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,6,0,2,0,0,0,0,0,0,0,0,0,0
1,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,3,0,3,0,1,0,1,0,0,0,0,0,0,0,0
1,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0
1,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0
1,11,1,5,0,0,0,11,0,0,2,0,0,0,0,0
1,3,3,2,1,0,0,11,0,0,2,0,0,0,0,0
1,4,0,3,0,1,0,4,0,0,4,0,0,2,0,0
1,6,1,5,1,0,0,4,0,0,4,0,0,2,0,0
2,12,2,5,2,1,0,6,0,0,3,0,0,2,0,0
2,8,2,7,1,3,0,6,0,0,3,0,0,2,0,0
1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2,0,2,0,0,0,6,0,0,2,0,0,0,0,0
1,4,0,3,0,0,0,6,0,0,2,0,0,0,0,0
1,3,0,2,0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
1,6,0,4,0,0,0,2,0,0,1,0,0,0,0,0
1,4,1,4,1,1,0,2,0,0,1,0,0,0,0,0
2,10,0,9,0,2,0,2,0,0,2,0,0,1,0,0
2,16,2,8,1,2,0,2,0,0,2,0,0,1,0,0
1,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0
1,3,1,0,0,0,0,2,0,0,1,0,0,0,0,0
1,12,1,7,1,2,0,1,0,0,0,0,0,0,0,0
1,6,0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,5,2,4,1,1,0,1,0,0,0,0,0,0,0,0
1,4,0,4,0,1,0,1,0,0,0,0,0,0,0,0
1,8,2,7,0,3,0,7,0,0,6,0,0,1,0,0
1,3,3,3,2,1,0,7,0,0,6,0,0,1,0,0
1,4,1,4,1,2,0,0,0,0,0,0,0,0,0,0
1,7,0,5,0,3,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0
2,4,3,3,1,1,1,4,0,0,1,0,0,1,0,0
2,2,2,1,0,1,0,4,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,6,65.99,5,3,0,0,1,0,0
1,7,2,5,2,0,1,6,65.99,5,3,0,0,1,0,0
1,2,0,2,0,1,0,4,20,1,2,20,1,0,0,0
1,3,3,2,2,0,0,4,20,1,2,20,1,0,0,0
1,6,0,5,0,1,0,0,0,0,0,0,0,0,0,0
1,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0
1,7,0,5,0,1,0,1,0,0,1,0,0,1,0,0
1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0
1,2,2,2,2,0,0,2,0,0,1,0,0,0,0,0
1,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0
1,3,0,3,0,0,0,1,0,0,1,0,0,0,0,0
1,4,1,3,1,0,0,1,0,0,1,0,0,0,0,0
2,9,2,9,2,0,0,1,0,0,1,0,0,1,0,0
2,3,1,3,1,1,0,1,0,0,1,0,0,1,0,0
1,6,0,5,0,2,0,1,0,0,1,0,0,1,0,0
1,6,1,5,1,4,0,1,0,0,1,0,0,1,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,6,0,3,0,2,0,0,0,0,0,0,0,0,0,0
1,8,2,0,0,0,0,2,0,0,0,0,0,0,0,0
1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1,5,0,5,0,0,0,1,0,0,1,0,0,0,0,0
1,4,2,3,0,2,0,1,0,0,1,0,0,0,0,0
1,1,0,1,0,0,0,3,0,0,3,0,0,2,0,0
1,4,0,4,0,0,0,3,0,0,3,0,0,2,0,0
1,5,0,4,0,2,0,3,0,0,3,0,0,1,0,0
1,3,3,2,3,1,2,3,0,0,3,0,0,1,0,0
1,10,1,9,1,1,1,2,0,0,1,0,0,0,0,0
1,10,0,7,0,1,0,2,0,0,1,0,0,0,0,0
2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2,13,3,9,2,2,1,0,0,0,0,0,0,0,0,0
1,12,2,6,2,3,1,8,0,0,8,0,0,4,0,0
1,9,2,7,2,1,0,8,0,0,8,0,0,4,0,0
1,5,1,2,1,0,1,1,0,0,1,0,0,1,0,0
1,2,3,2,2,0,1,1,0,0,1,0,0,1,0,0
1,1,1,0,0,0,0,6,0,0,5,0,0,3,0,0
1,3,0,0,0,0,0,6,0,0,5,0,0,3,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,1,4,0,1,0,1,0,0,1,0,0,1,0,0
3,11,0,7,0,2,0,1,0,0,1,0,0,1,0,0
1,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0
1,3,1,0,0,0,0,5,0,0,1,0,0,0,0,0
1,8,0,5,0,2,0,1,0,0,0,0,0,0,0,0
1,8,1,6,1,1,1,1,0,0,0,0,0,0,0,0
2,5,3,4,1,1,0,9,0,0,6,0,0,3,0,0
2,6,1,3,0,1,0,9,0,0,6,0,0,3,0,0
1,5,0,0,0,0,0,11,0,0,5,0,0,2,0,0
1,2,0,0,0,0,0,11,0,0,5,0,0,2,0,0
1,4,0,4,0,0,0,2,162,5,2,162,5,1,0,0
1,1,1,0,1,0,0,2,162,5,2,162,5,1,0,0
1,2,1,2,1,1,0,9,113.97,3,0,0,0,0,0,0
1,6,0,5,0,1,0,9,113.97,3,0,0,0,0,0,0
1,3,2,3,2,0,1,7,0,0,4,0,0,1,0,0
1,7,0,5,0,2,0,7,0,0,4,0,0,1,0,0
1,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0
1,10,2,7,1,4,0,6,0,0,2,0,0,0,0,0
1,8,1,5,1,1,0,6,0,0,2,0,0,0,0,0
1,4,1,2,1,1,0,1,0,0,1,0,0,1,0,0
1,6,1,5,1,2,0,1,0,0,1,0,0,1,0,0
1,4,2,3,1,0,1,0,0,0,0,0,0,0,0,0
1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0
1,4,1,0,0,0,0,2,0,0,1,0,0,0,0,0
1,2,0,0,0,0,0,9,263.98,6,7,71.98,2,1,0,0
1,2,0,0,0,0,0,9,263.98,6,7,71.98,2,1,0,0
1,2,2,1,2,0,0,2,0,0,2,0,0,0,0,0
1,3,2,3,1,2,1,2,0,0,2,0,0,0,0,0
1,1,2,1,1,0,0,3,0,0,3,0,0,2,0,0
1,5,1,5,1,0,0,3,0,0,3,0,0,2,0,0
1,4,1,3,1,1,0,4,0,0,3,0,0,0,0,0
1,3,1,3,1,1,0,4,0,0,3,0,0,0,0,0
1,8,0,6,0,2,0,6,0,0,3,0,0,0,0,0
1,2,0,0,0,0,0,6,0,0,3,0,0,0,0,0
1,4,3,4,3,1,1,4,145.98,5,3,145.98,5,0,0,0
1,4,1,3,1,0,0,4,145.98,5,3,145.98,5,0,0,0
1,4,2,2,2,1,0,7,0,0,4,0,0,0,0,0
1,3,3,1,2,1,0,7,0,0,4,0,0,0,0,0
1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,1,0,0,2,0,0,1,0,0,0,0,0
1,5,1,5,1,3,0,2,0,0,1,0,0,0,0,0
